gateway,gw_lat,gw_lon,gw_elevation,frequency
a840411eebb44150,16.0740984,108.15253,15.726420402526855,922200000.0
ac1f09fffe06fcf2,16.054765682623003,108.21985626414312,11.24950885772705,922200000.0
a84041ffff1ec39f,16.0741086,108.1525171,15.726420402526855,922200000.0
ac1f09fffe00ab20,16.05469,108.22009,8.840137481689453,922200000.0
7276ff002e06029f,16.0659959,108.1532551,8.151418685913086,922200000.0
7276ff002e0507da,16.0740935,108.1524913,15.726420402526855,922200000.0
7276ff002e062cf2,16.11829376220703,108.2736358642578,591.0362548828125,922200000.0
7276ff002e061f5b,16.075590133666992,108.22207641601562,6.562131404876709,922200000.0
ac1f09fffe00ab25,16.11073,108.12857,9.854253768920898,922200000.0
ac1f09fffe0fd629,16.06815,108.15448,7.583545207977295,922200000.0
ac1f09fffe0fd63b,15.98571,108.23986,9.06480884552002,922200000.0
7276ff000b031aec,16.0732364654541,108.1514663696289,14.6357421875,922400000.0
ac1f09fffe168f85,16.07557350137005,108.15326048782693,14.116859436035156,922200000.0
