lat,lon,gateway,rssi,distance
16.0729548,108.1499147,a840411eebb44150,-109,307.01268280325843
16.0729441,108.149881,a840411eebb44150,-108,310.78314765123054
16.0729309,108.14995190000002,a840411eebb44150,-108,304.5228051711249
16.0734873,108.1514427,a840411eebb44150,-87,134.5888429909433
16.074712400000003,108.15472610000002,a840411eebb44150,-114,244.37863298470543
16.0746397,108.1546994,a840411eebb44150,-107,239.4822992514572
16.0740777,108.15319,a840411eebb44150,-87,70.55703741176033
16.0735488,108.15176290000002,a840411eebb44150,-65,102.23842861010792
16.0730426,108.1504366,a840411eebb44150,-92,252.61319029270305
16.0730253,108.14992069999998,a840411eebb44150,-112,303.2599845495257
16.073028900000004,108.1499564,a840411eebb44150,-112,299.59782767007727
16.0730237,108.14996379999998,a840411eebb44150,-113,299.102824506609
16.0746691,108.1549485,a840411eebb44150,-114,266.0886518600574
16.074190800000004,108.1537089,a840411eebb44150,-88,126.3810524777278
16.0737812,108.1525523,a840411eebb44150,-59,35.35141997925206
16.0733644,108.1515222,a840411eebb44150,-74,135.1170273586919
16.0730016,108.1505016,a840411eebb44150,-92,248.68854762232525
16.072916900000003,108.1499201,a840411eebb44150,-101,308.2600080426326
16.0729952,108.1498938,a840411eebb44150,-106,307.2254656266078
16.072997899999997,108.1498945,a840411eebb44150,-106,307.03711354044015
16.0748339,108.1550591,a840411eebb44150,-113,282.3327441155247
16.074213500000003,108.15346779999996,a840411eebb44150,-89,101.01579778068457
16.0736263,108.15192890000004,a840411eebb44150,-78,82.95026418264686
16.07316,108.1506968,a840411eebb44150,-89,221.9334047971928
16.0730663,108.15000129999996,a840411eebb44150,-108,293.54994512829035
16.0730567,108.14999,a840411eebb44150,-108,295.079011256008
16.0731631,108.15046190000002,a840411eebb44150,-100,244.2229702845552
16.0735399,108.1514221,a840411eebb44150,-91,133.67779910867787
16.073991499999998,108.1526189,a840411eebb44150,-78,15.215815014429774
16.074450000000002,108.1539013,a840411eebb44150,-88,151.64647210744954
16.074960500000003,108.1552196,a840411eebb44150,-113,302.9436681330897
16.074443800000005,108.1541618,a840411eebb44150,-94,178.53393547889814
16.0738549,108.1525909,a840411eebb44150,-60,27.8468900183798
16.073352399999997,108.1512105,a840411eebb44150,-87,163.57852285839004
16.072938,108.1500652,a840411eebb44150,-104,293.26923045455453
16.0731911,108.1498744,a840411eebb44150,-110,301.1472481212635
16.073200500000002,108.1498694,a840411eebb44150,-107,301.3026953526571
16.0708221,108.1547391,ac1f09fffe06fcf2,-130,7183.424595896273
16.074123800000002,108.15325509999998,a840411eebb44150,-82,77.5267234630475
16.0732536,108.1509216,a840411eebb44150,-93,195.8522789956194
16.07317,108.14983120000002,a840411eebb44150,-109,306.2830905315347
16.073180100000002,108.149834,a840411eebb44150,-111,305.62437936602805
16.073327499999998,108.1497965,a840411eebb44150,-90,304.3880731696764
16.0319141,108.2140325,ac1f09fffe06fcf2,-126,2616.085162036587
16.0321378,108.2157579,ac1f09fffe06fcf2,-134,2553.938972603436
16.0322845,108.2169188,ac1f09fffe06fcf2,-125,2519.4258220489096
16.0323014,108.21872879999998,ac1f09fffe06fcf2,-131,2500.818343052816
16.0319795,108.2187817,ac1f09fffe06fcf2,-131,2536.308781611168
16.026063999999998,108.2206111,ac1f09fffe06fcf2,-122,3192.500767178912
16.025743900000002,108.2205345,ac1f09fffe06fcf2,-127,3227.8888422957043
16.0257397,108.2205168,ac1f09fffe06fcf2,-124,3228.31383022535
16.0257351,108.2204571,ac1f09fffe06fcf2,-127,3228.692027445295
16.0257289,108.22046099999996,ac1f09fffe06fcf2,-134,3229.3896132345344
16.0257203,108.2204575,ac1f09fffe06fcf2,-128,3230.3382370581107
16.025603699999998,108.220403,ac1f09fffe06fcf2,-127,3243.190858299218
16.025512900000003,108.2201141,ac1f09fffe06fcf2,-126,3252.8777190748924
16.0253818,108.2198025,ac1f09fffe06fcf2,-127,3267.3437245225496
16.0253216,108.21969240000004,ac1f09fffe06fcf2,-127,3274.079438083106
16.0251691,108.2193779,ac1f09fffe06fcf2,-127,3291.386854938992
16.025294199999998,108.2192114,ac1f09fffe06fcf2,-129,3277.8038685212528
16.024243900000002,108.2172739,ac1f09fffe06fcf2,-133,3405.0688558541365
16.023758800000003,108.21641190000004,ac1f09fffe06fcf2,-131,3467.400776835309
16.023896599999997,108.2164962,ac1f09fffe06fcf2,-133,3451.216125773816
16.0244383,108.2174286,ac1f09fffe06fcf2,-132,3382.2158487761503
16.0258408,108.22012169999998,ac1f09fffe06fcf2,-132,3216.425285518506
16.026350299999997,108.221077,ac1f09fffe06fcf2,-122,3162.338334108007
16.026416,108.22118290000004,ac1f09fffe06fcf2,-133,3155.527258296171
16.026415699999998,108.22118489999998,ac1f09fffe06fcf2,-132,3155.5701927611635
16.0264154,108.2211841,ac1f09fffe06fcf2,-130,3155.5996718990223
16.026419,108.221183,ac1f09fffe06fcf2,-132,3155.1944905459104
16.0264176,108.221179,ac1f09fffe06fcf2,-133,3155.33082750338
16.0312668,108.2239272,ac1f09fffe06fcf2,-130,2648.924295756466
16.0322703,108.22420989999998,ac1f09fffe06fcf2,-120,2544.271833121485
16.033046300000002,108.2243598,ac1f09fffe06fcf2,-126,2462.570350115086
16.033169100000002,108.2248545,ac1f09fffe06fcf2,-120,2460.1145938136306
16.033208000000002,108.2250392,ac1f09fffe06fcf2,-114,2460.2606451111265
16.0332224,108.2250372,ac1f09fffe06fcf2,-123,2458.652426231268
16.0333175,108.2254802,ac1f09fffe06fcf2,-122,2459.488193836072
16.0335151,108.226502,ac1f09fffe06fcf2,-119,2467.3737662261806
16.0337406,108.22755629999996,ac1f09fffe06fcf2,-121,2478.464070320675
16.0340014,108.2286846,ac1f09fffe06fcf2,-118,2494.192635188579
16.034244800000003,108.2298562,ac1f09fffe06fcf2,-118,2519.6550268708647
16.034481800000002,108.2310291,ac1f09fffe06fcf2,-131,2551.995804086376
16.0351427,108.2341539,ac1f09fffe06fcf2,-131,2663.733707931985
16.0355196,108.235911,ac1f09fffe06fcf2,-128,2742.8778211939016
16.0358695,108.2375165,ac1f09fffe06fcf2,-128,2824.270321045725
16.0376234,108.241925,ac1f09fffe06fcf2,-125,3032.3329531004283
16.0381802,108.24259320000002,ac1f09fffe06fcf2,-133,3050.364508931632
16.0528724,108.2366338,ac1f09fffe06fcf2,-135,1805.141876828626
16.0528705,108.2366337,ac1f09fffe06fcf2,-134,1805.1559239835533
16.050671700000002,108.2325878,ac1f09fffe06fcf2,-122,1434.6233705886737
16.0504381,108.2308465,ac1f09fffe06fcf2,-122,1269.1702876610186
16.0502059,108.2290854,ac1f09fffe06fcf2,-124,1108.9192916701045
16.0499943,108.2274879,ac1f09fffe06fcf2,-125,972.9061726459332
16.0530504,108.2033337,ac1f09fffe06fcf2,-132,1775.8492592054777
16.0530541,108.20332700000002,ac1f09fffe06fcf2,-133,1776.5169325317431
16.0530501,108.20334630000002,ac1f09fffe06fcf2,-135,1774.5142228167194
16.053048599999997,108.20335500000002,ac1f09fffe06fcf2,-130,1773.6078981517376
16.0530525,108.2033574,ac1f09fffe06fcf2,-129,1773.3062727582103
16.0530617,108.2033425,ac1f09fffe06fcf2,-134,1774.779713506722
16.053076100000002,108.2033268,ac1f09fffe06fcf2,-134,1776.277680215729
16.0530866,108.2033188,ac1f09fffe06fcf2,-133,1777.0046588232383
16.0744137,108.1527596,a840411eebb44150,-79,42.7903751775213
16.074388400000004,108.153071,a840411eebb44150,-79,66.19067887820484
16.07424,108.15341400000004,a840411eebb44150,-89,95.7566862242403
16.0794217,108.1472832,a84041ffff1ec39f,-112,7612.86160406318
16.0774609,108.1482152,a84041ffff1ec39f,-110,7556.22023894866
16.077322399999996,108.14818300000002,a84041ffff1ec39f,-112,7562.740929618286
16.077358500000003,108.1481929,a84041ffff1ec39f,-112,7560.881082174764
16.077382300000004,108.1483046,a84041ffff1ec39f,-112,7548.657313523253
16.0768783,108.1484367,a84041ffff1ec39f,-110,7546.562511117396
16.0767864,108.1484771,a84041ffff1ec39f,-111,7544.525623286554
16.076782,108.1484813,a84041ffff1ec39f,-111,7544.192027640343
16.076287,108.14872140000004,a84041ffff1ec39f,-109,7531.153097796229
16.0743751,108.1533039,a840411eebb44150,-89,88.22800097138077
16.0744097,108.1532575,a840411eebb44150,-78,85.09056646498625
16.074499199999998,108.1534105,a840411eebb44150,-83,104.10151786546292
16.074824599999996,108.1530943,a840411eebb44150,-108,100.77646017185988
16.074126999999997,108.151302,a840411eebb44150,-110,131.24749606888528
16.0729976,108.1501795,a840411eebb44150,-107,279.3868341380588
16.0737064,108.15210220000002,a840411eebb44150,-81,63.16096136428799
16.074542100000002,108.15432420000002,a840411eebb44150,-94,197.95282083010736
16.0743297,108.1525487,a840411eebb44150,-68,25.796880634718047
16.0743896,108.152728,a840411eebb44150,-84,38.67856069495164
16.0743253,108.1530352,a840411eebb44150,-74,59.58471098419707
16.074277799999997,108.1534535,a840411eebb44150,-89,100.67003983162304
16.074740400000003,108.15467809999998,a840411eebb44150,-102,240.3646646204301
16.0747681,108.1549429,a840411eebb44150,-110,268.35161609863
16.074229300000002,108.1535085,a840411eebb44150,-87,105.55877013279766
16.074229199999998,108.1530774,a840411eebb44150,-80,60.26964948967412
16.074643000000002,108.1533347,a840411eebb44150,-90,105.16520192633442
16.0745048,108.1523542,a840411eebb44150,-89,48.93805221845235
16.0742,108.1515469,a84041ffff1ec39f,-111,7294.149102140283
16.0742,108.1515469,a840411eebb44150,-104,105.64772258658849
16.073681,108.1501071,a84041ffff1ec39f,-112,7457.732213908021
16.0757908,108.1487946,a84041ffff1ec39f,-111,7535.970285163546
16.0772089,108.14817480000002,a84041ffff1ec39f,-109,7566.203839533721
16.0773078,108.1481276,a84041ffff1ec39f,-111,7568.867554854043
16.077340600000003,108.1481126,a84041ffff1ec39f,-112,7569.686664509244
16.0780588,108.1477911,a84041ffff1ec39f,-112,7587.396242997872
16.074484899999998,108.1520226,a840411eebb44150,-94,69.18249277063292
16.074681400000003,108.1524725,a840411eebb44150,-79,65.11711760556177
16.0745892,108.15324660000002,a840411eebb44150,-98,94.0259160547828
16.0744079,108.1529187,a840411eebb44150,-87,53.93755559049999
16.0745147,108.1529984,a840411eebb44150,-90,68.17293224383226
16.074469099999998,108.1529368,a840411eebb44150,-90,59.90278493713959
16.0743456,108.1530397,a840411eebb44150,-87,61.00388355033074
16.074285200000002,108.15352779999998,a840411eebb44150,-81,108.61715249849094
16.074788199999997,108.15483190000002,a840411eebb44150,-98,257.63494299251016
16.07434,108.1526034,a840411eebb44150,-67,27.986039858532948
16.074348699999998,108.15260629999996,a840411eebb44150,-59,29.0015185071565
16.074514100000002,108.1528997,a840411eebb44150,-83,60.80300922116649
16.074561,108.1531534,a840411eebb44150,-93,84.15863885075007
16.0748296,108.1527825,a840411eebb44150,-106,85.66497473158313
16.0745237,108.1520881,a840411eebb44150,-79,66.82666707476281
16.074302,108.1516275,a840411eebb44150,-98,99.05191369778396
16.0742978,108.15264959999998,a840411eebb44150,-71,25.591243936616777
16.074298000000002,108.1530511,a840411eebb44150,-81,59.93888554879488
16.074651,108.15459760000002,a840411eebb44150,-102,229.30418303234552
16.073,108.15027349999998,a840411eebb44150,-98,270.2734517706176
16.073047600000002,108.15040459999996,a840411eebb44150,-104,255.3907473980084
16.0730614,108.15040059999995,a840411eebb44150,-100,255.073506470711
16.073073700000002,108.15041390000002,a840411eebb44150,-103,253.1882921079764
16.0733558,108.1511052,a840411eebb44150,-81,173.18899189227304
16.0737941,108.1521872,a840411eebb44150,-66,49.86466058225281
16.074138400000002,108.15305519999995,a840411eebb44150,-76,56.29239527363622
16.0744756,108.1541175,a840411eebb44150,-102,174.72929295789632
16.075103199999997,108.1558031,a840411eebb44150,-115,367.1362003432352
16.0746375,108.1546107,a840411eebb44150,-104,230.2576499647259
16.0741714,108.153384,a840411eebb44150,-95,91.60825083555515
16.073813400000002,108.152403,a840411eebb44150,-70,34.47357084078365
16.073440400000003,108.15149909999998,a840411eebb44150,-76,132.23542713772653
16.0731833,108.1507144,a840411eebb44150,-93,219.0600510455629
16.0729842,108.15017279999998,a840411eebb44150,-102,280.68503140949366
16.0730895,108.1499186,a840411eebb44150,-105,300.730924835198
16.073200500000002,108.14982959999998,a840411eebb44150,-114,305.318233714816
