device,lat,lon,gateway,gw_lat,gw_lon,rssi,snr,time,frequency,bandwidth,spreading_factor
board01,16.0708221,108.1547391,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-130,-16.0,2026-02-13T09:35:34.868878466+00:00,922200000,125000,12
board01,16.074123800000002,108.15325509999998,a840411eebb44150,16.0740984,108.15253,-82,1.5,2026-02-13T09:23:59.058343+00:00,922200000,125000,12
board01,16.0732536,108.15092159999999,a840411eebb44150,16.0740984,108.15253,-93,1.8,2026-02-13T09:23:29.058989+00:00,922200000,125000,12
board01,16.07317,108.14983120000002,a840411eebb44150,16.0740984,108.15253,-109,-14.8,2026-02-13T09:22:29.065162+00:00,922200000,125000,12
board01,16.073180100000002,108.14983400000001,a840411eebb44150,16.0740984,108.15253,-111,-15.8,2026-02-13T09:21:59.070036+00:00,922200000,125000,12
board01,16.073327499999998,108.14979650000001,a840411eebb44150,16.0740984,108.15253,-90,-19.2,2026-02-13T09:21:29.071850+00:00,922200000,125000,12
board01,16.0319141,108.21403249999999,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-126,-10.0,2026-02-09T13:57:04.884820373+00:00,922200000,125000,12
board01,16.0321378,108.21575790000001,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-134,-17.5,2026-02-09T13:53:53.235604783+00:00,922200000,125000,12
board01,16.0322845,108.21691879999999,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-125,-10.5,2026-02-09T13:53:38.240038180+00:00,922200000,125000,12
board01,16.0323014,108.21872879999998,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-131,-17.3,2026-02-09T13:53:08.282807159+00:00,922200000,125000,12
board01,16.0319795,108.2187817,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-131,-14.5,2026-02-09T13:52:53.243395447+00:00,922200000,125000,12
board01,16.026063999999998,108.2206111,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-122,-9.3,2026-02-09T13:50:53.258189651+00:00,922200000,125000,12
board01,16.025743900000002,108.22053449999999,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-127,-10.5,2026-02-09T12:51:07.280692264+00:00,922200000,125000,12
board01,16.0257397,108.2205168,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-124,-10.0,2026-02-09T12:50:53.284576449+00:00,922200000,125000,12
board01,16.0257351,108.2204571,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-127,-13.0,2026-02-09T12:50:25.287339030+00:00,922200000,125000,12
board01,16.0257289,108.22046099999997,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-134,-18.0,2026-02-09T12:49:57.291499419+00:00,922200000,125000,12
board01,16.0257203,108.2204575,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-128,-11.8,2026-02-09T12:49:43.291119169+00:00,922200000,125000,12
board01,16.025603699999998,108.220403,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-127,-10.8,2026-02-09T12:49:29.290859264+00:00,922200000,125000,12
board01,16.025512900000003,108.2201141,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-126,-10.0,2026-02-09T12:49:15.296725319+00:00,922200000,125000,12
board01,16.0253818,108.21980249999999,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-127,-11.3,2026-02-09T12:49:01.298784945+00:00,922200000,125000,12
board01,16.0253216,108.21969240000003,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-127,-11.0,2026-02-09T12:48:47.199832905+00:00,922200000,125000,12
board01,16.0251691,108.2193779,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-127,-13.3,2026-02-09T12:48:05.205010558+00:00,922200000,125000,12
board01,16.025294199999998,108.21921139999999,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-129,-13.0,2026-02-09T12:47:51.209599521+00:00,922200000,125000,12
board01,16.024243900000002,108.21727390000001,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-133,-17.3,2026-02-09T12:47:23.213585236+00:00,922200000,125000,12
board01,16.023758800000003,108.21641190000003,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-131,-14.5,2026-02-09T12:47:09.213225597+00:00,922200000,125000,12
board01,16.023896599999997,108.21649620000001,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-133,-17.0,2026-02-09T12:46:55.215885648+00:00,922200000,125000,12
board01,16.0244383,108.21742859999999,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-132,-15.5,2026-02-09T12:46:41.213830175+00:00,922200000,125000,12
board01,16.0258408,108.22012169999998,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-132,-16.3,2026-02-09T12:46:13.221337387+00:00,922200000,125000,12
board01,16.026350299999997,108.22107700000001,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-122,-11.3,2026-02-09T12:45:59.225902890+00:00,922200000,125000,12
board01,16.026416,108.22118290000003,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-133,-16.5,2026-02-09T12:45:45.222173743+00:00,922200000,125000,12
board01,16.026415699999998,108.22118489999998,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-132,-15.8,2026-02-09T12:45:31.245332427+00:00,922200000,125000,12
board01,16.0264154,108.22118409999999,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-130,-13.8,2026-02-09T12:45:17.228903752+00:00,922200000,125000,12
board01,16.026419,108.221183,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-132,-15.8,2026-02-09T12:45:03.228708398+00:00,922200000,125000,12
board01,16.0264176,108.221179,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-133,-19.0,2026-02-09T12:44:49.231079878+00:00,922200000,125000,12
board01,16.0312668,108.2239272,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-130,-14.3,2026-02-09T12:42:15.256154672+00:00,922200000,125000,12
board01,16.0322703,108.22420989999998,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-120,-8.3,2026-02-09T12:42:01.255003713+00:00,922200000,125000,12
board01,16.033046300000002,108.2243598,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-126,-10.3,2026-02-09T12:41:47.257436290+00:00,922200000,125000,12
board01,16.033169100000002,108.22485449999999,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-120,-3.8,2026-02-09T12:41:33.260509985+00:00,922200000,125000,12
board01,16.033208000000002,108.2250392,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-114,-6.8,2026-02-09T12:41:19.263714088+00:00,922200000,125000,12
board01,16.0332224,108.2250372,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-123,-8.8,2026-02-09T12:41:05.263255533+00:00,922200000,125000,12
board01,16.0333175,108.22548019999999,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-122,-5.8,2026-02-09T12:40:51.266292392+00:00,922200000,125000,12
board01,16.0335151,108.22650200000001,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-119,-5.0,2026-02-09T12:40:37.265219388+00:00,922200000,125000,12
board01,16.0337406,108.22755629999997,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-121,-5.3,2026-02-09T12:40:23.271152437+00:00,922200000,125000,12
board01,16.0340014,108.2286846,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-118,-4.5,2026-02-09T12:40:09.274468505+00:00,922200000,125000,12
board01,16.034244800000003,108.22985620000001,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-118,-4.8,2026-02-09T12:39:55.272076078+00:00,922200000,125000,12
board01,16.034481800000002,108.2310291,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-131,-15.0,2026-02-09T12:39:41.276853748+00:00,922200000,125000,12
board01,16.0351427,108.2341539,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-131,-15.3,2026-02-09T12:39:13.278602652+00:00,922200000,125000,12
board01,16.0355196,108.23591099999999,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-128,-11.8,2026-02-09T12:38:59.282180705+00:00,922200000,125000,12
board01,16.0358695,108.2375165,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-128,-11.5,2026-02-09T12:38:45.282894857+00:00,922200000,125000,12
board01,16.0376234,108.24192500000001,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-125,-11.3,2026-02-09T12:37:49.291622672+00:00,922200000,125000,12
board01,16.0381802,108.24259320000002,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-133,-18.5,2026-02-09T12:37:35.291663923+00:00,922200000,125000,12
board01,16.0528724,108.2366338,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-135,-18.5,2026-02-09T11:36:30.311296433+00:00,922200000,125000,12
board01,16.0528705,108.2366337,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-134,-20.3,2026-02-09T11:35:34.321257385+00:00,922200000,125000,12
board01,16.050671700000002,108.2325878,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-122,-9.3,2026-02-09T11:34:38.227084759+00:00,922200000,125000,12
board01,16.0504381,108.23084650000001,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-122,-7.8,2026-02-09T11:34:24.229999223+00:00,922200000,125000,12
board01,16.0502059,108.2290854,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-124,-7.8,2026-02-09T11:34:10.236821068+00:00,922200000,125000,12
board01,16.0499943,108.2274879,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-125,-10.8,2026-02-09T11:33:56.235502840+00:00,922200000,125000,12
board01,16.0530504,108.2033337,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-132,-16.3,2026-02-06T11:17:19.285640106+00:00,922200000,125000,12
board01,16.0530541,108.20332700000002,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-133,-16.8,2026-02-06T11:17:05.289399440+00:00,922200000,125000,12
board01,16.0530501,108.20334630000002,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-135,-18.8,2026-02-06T11:16:51.289940728+00:00,922200000,125000,12
board01,16.053048599999997,108.20335500000002,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-130,-13.8,2026-02-06T11:16:37.291709312+00:00,922200000,125000,12
