lat,lon,gateway,gateway_id,gw_lat,gw_lon,rssi,distance_3d,closest_to_gw_distance
16.0729548,108.1499147,a840411eebb44150,6,16.0740984,108.15253,-109,307.3549046331524,307.2254656266078
16.0729441,108.149881,a840411eebb44150,6,16.0740984,108.15253,-108,311.1212221369776,308.2600080426326
16.0729309,108.14995190000002,a840411eebb44150,6,16.0740984,108.15253,-108,304.867821964357,307.01268280325843
16.0734873,108.1514427,a840411eebb44150,6,16.0740984,108.15253,-87,135.16806818787043,133.67779910867787
16.074712400000003,108.15472610000002,a840411eebb44150,6,16.0740984,108.15253,-114,244.86969240694805,240.3646646204301
16.0746397,108.1546994,a840411eebb44150,6,16.0740984,108.15253,-107,239.9833778718112,240.3646646204301
16.0740777,108.15319,a840411eebb44150,6,16.0740984,108.15253,-87,71.4880796239803,67.28520909460926
16.0735488,108.15176290000002,a840411eebb44150,6,16.0740984,108.15253,-65,102.88316813096364,87.01211305473527
16.0730426,108.1504366,a840411eebb44150,6,16.0740984,108.15253,-92,252.973662482594,253.1882921079764
16.0730253,108.14992069999998,a840411eebb44150,6,16.0740984,108.15253,-112,303.6064364090106,303.063076114101
16.073028900000004,108.1499564,a840411eebb44150,6,16.0740984,108.15253,-112,299.94850948892764,299.102824506609
16.0730237,108.14996379999998,a840411eebb44150,6,16.0740984,108.15253,-113,299.45408600957734,299.59782767007727
16.0746691,108.1549485,a840411eebb44150,6,16.0740984,108.15253,-114,266.5397168316625,268.35161609863
16.074190800000004,108.1537089,a840411eebb44150,6,16.0740984,108.15253,-88,126.90319312522514,121.738492256987
16.0737812,108.1525523,a840411eebb44150,6,16.0740984,108.15253,-59,38.20959165640823,34.47357084078365
16.0733644,108.1515222,a840411eebb44150,6,16.0740984,108.15253,-74,135.69399795956156,132.23542713772653
16.0730016,108.1505016,a840411eebb44150,6,16.0740984,108.15253,-92,249.05470025378267,252.61319029270305
16.072916900000003,108.1499201,a840411eebb44150,6,16.0740984,108.15253,-101,308.60084665866344,307.01268280325843
16.0729952,108.1498938,a840411eebb44150,6,16.0740984,108.15253,-106,307.5674506990068,307.03711354044015
16.072997899999997,108.1498945,a840411eebb44150,6,16.0740984,108.15253,-106,307.3793081702884,307.2254656266078
16.0748339,108.1550591,a840411eebb44150,6,16.0740984,108.15253,-113,282.7578971484304,281.4173982980221
16.074213500000003,108.15346779999996,a840411eebb44150,6,16.0740984,108.15253,-89,101.66829103151169,100.67003983162304
16.0736263,108.15192890000004,a840411eebb44150,6,16.0740984,108.15253,-78,83.88680663829626,82.11189335239467
16.07316,108.1506968,a840411eebb44150,6,16.0740984,108.15253,-89,222.34362182188767,219.0600510455629
16.0730663,108.15000129999996,a840411eebb44150,6,16.0740984,108.15253,-108,293.9078431835773,295.079011256008
16.0730567,108.14999,a840411eebb44150,6,16.0740984,108.15253,-108,295.43505696484857,293.54994512829035
16.0731631,108.15046190000002,a840411eebb44150,6,16.0740984,108.15253,-100,244.5958078434925,249.76947092345364
16.0735399,108.1514221,a840411eebb44150,6,16.0740984,108.15253,-91,134.2609547654866,134.5888429909433
16.073991499999998,108.1526189,a840411eebb44150,6,16.0740984,108.15253,-78,21.01834975808868,27.8468900183798
16.074450000000002,108.1539013,a840411eebb44150,6,16.0740984,108.15253,-88,152.24619043718457,152.03641483751528
16.074960500000003,108.1552196,a840411eebb44150,6,16.0740984,108.15253,-113,303.3926763485427,282.3327441155247
16.074443800000005,108.1541618,a840411eebb44150,6,16.0740984,108.15253,-94,179.12179129738337,174.72929295789632
16.0738549,108.1525909,a840411eebb44150,6,16.0740984,108.15253,-60,31.39584819201005,35.35141997925206
16.073352399999997,108.1512105,a840411eebb44150,6,16.0740984,108.15253,-87,164.13464942093375,173.18899189227304
16.072938,108.1500652,a840411eebb44150,6,16.0740984,108.15253,-104,293.6274706688845,294.58521395663087
16.0731911,108.1498744,a840411eebb44150,6,16.0740984,108.15253,-110,301.4961277545863,301.3026953526571
16.073200500000002,108.1498694,a840411eebb44150,6,16.0740984,108.15253,-107,301.6513952011098,301.1472481212635
16.0708221,108.1547391,ac1f09fffe06fcf2,10,16.054765682623003,108.21985626414312,-130,7183.4322698086,8300.174887409137
16.074123800000002,108.15325509999998,a840411eebb44150,6,16.0740984,108.15253,-82,78.37501420041875,80.14418295927473
16.0732536,108.1509216,a840411eebb44150,6,16.0740984,108.15253,-93,196.25077117753688,190.1016527098345
16.07317,108.14983120000002,a840411eebb44150,6,16.0740984,108.15253,-109,306.7272103116192,305.62437936602805
16.073180100000002,108.149834,a840411eebb44150,6,16.0740984,108.15253,-111,306.0694549654863,306.2830905315347
16.073327499999998,108.1497965,a840411eebb44150,6,16.0740984,108.15253,-90,304.8349538487151,306.5784759607247
16.0319141,108.2140325,ac1f09fffe06fcf2,10,16.054765682623003,108.21985626414312,-126,2616.150573844708,2553.938972603436
16.0321378,108.2157579,ac1f09fffe06fcf2,10,16.054765682623003,108.21985626414312,-134,2554.0134153490058,2519.4258220489096
16.0322845,108.2169188,ac1f09fffe06fcf2,10,16.054765682623003,108.21985626414312,-125,2519.4798516374017,2553.938972603436
16.0323014,108.21872879999998,ac1f09fffe06fcf2,10,16.054765682623003,108.21985626414312,-131,2500.8943670114163,2536.308781611168
16.0319795,108.2187817,ac1f09fffe06fcf2,10,16.054765682623003,108.21985626414312,-131,2536.3762508109726,2500.818343052816
